ID,Type,Sigma,SMILES
A337,p,-0.02,O=C(O)c1ccc(-c2ccsc2)cc1
B62,m,0.42,O=C(O)c1cccc(C(F)(F)Cl)c1
B460,m,0.06,O=C(O)c1cccc(COc2ccccc2)c1
B95,m,0.71,N#CN=Nc1cccc(C(=O)O)c1
A48,p,0,O=C(O)c1ccc(OP(=O)([O-])O)cc1
A416,p,0.51,O=C(O)c1ccc(-n2nc3ccccc3n2)cc1
A176,p,0.28,O=C(O)c1ccc(OC(F)(F)C(F)Cl)cc1
B11,m,0.54,O=C(O)c1cccc(P(Cl)Cl)c1
A459,p,-0.03,O=C(O)c1ccc(C(O)c2ccccc2)cc1
A21,p,0.59,O=C(O)c1ccc(P(F)F)cc1
A188,p,0.15,O=C(O)c1ccc(CSC(F)(F)F)cc1
A250,p,0.51,O=C(O)c1ccc(C#CC(F)(F)F)cc1
B251,m,0.39,O=C(O)c1cccc(/C(F)=C(\F)C(F)(F)F)c1
A3,p,0.73,O=C(O)c1ccc([Ge](Br)(Br)Br)cc1
A65,p,0.13,O=C(O)c1ccc(N=C(Cl)Cl)cc1
A153,p,0,C[Se]c1ccc(C(=O)O)cc1
A45,p,-0.37,O=C(O)c1ccc(O)cc1
B360,m,-0.23,CCN(CC)c1cccc(C(=O)O)c1
B207,m,-0.07,O=C(O)c1cccc(N2CC2)c1
A99,p,0,O=C([O-])c1ccc(C(=O)O)cc1
A26,p,0.8,O=C(O)c1ccc(P(F)(F)(F)F)cc1
A170,p,1.28,O=C(O)c1ccc(/S(=N/S(=O)(=O)C(F)(F)F)C(F)(F)F)cc1
B279,m,-0.03,O=C(O)CCc1cccc(C(=O)O)c1
A47,p,0.26,O=C(O)c1ccc(P(=O)([O-])O)cc1
A6,p,0.35,O=C(O)c1ccc([Hg]Cl)cc1
A31,p,0.91,O=Nc1ccc(C(=O)O)cc1
A404,p,0.12,O=C(O)c1ccc(-c2ccc(Br)cc2)cc1
A335,p,0.02,O=C(O)c1ccc(-c2ccco2)cc1
B57,m,0,O=C(O)c1cccc([GeH3])c1
A398,p,0.56,O=C(O)c1ccc(OP(=O)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)cc1
B178,m,0.76,O=C(O)c1cccc(/C=N/S(=O)(=O)C(F)(F)F)c1
B476,m,0.29,C/C(=N\c1cccc(C(=O)O)c1)Nc1ccccc1
B171,m,1.23,O=C(O)c1cccc(S(=O)(=NS(=O)(=O)C(F)(F)F)C(F)(F)F)c1
B335,m,0.06,O=C(O)c1cccc(-c2ccco2)c1
A447,p,0.29,O=C(O)c1ccc(-c2nc3ccccc3s2)cc1
A218,p,-0.12,O=C(O)c1ccc(OCC[O-])cc1
B18,m,0.8,O=C(O)c1cccc(S(=O)(=O)F)c1
B13,m,0.71,O=C(O)c1cccc([Ge](Cl)(Cl)Cl)c1
A417,p,-0.01,O=C(O)c1ccc(-c2ccccc2)cc1
A344,p,0.33,CC(=O)N(C(C)=O)c1ccc(C(=O)O)cc1
A155,p,-0.11,NCc1ccc(C(=O)O)cc1
A120,p,0.12,O=C(O)c1ccc(CCl)cc1
B205,m,0.26,C=CSc1cccc(C(=O)O)c1
A213,p,0.3,CO/N=C/c1ccc(C(=O)O)cc1
B265,m,0.31,O=C(O)c1cccc(/C=C/S(=O)(=O)C(F)(F)F)c1
B417,m,0.06,O=C(O)c1cccc(-c2ccccc2)c1
B387,m,-0.06,CCC(C)(C)c1cccc(C(=O)O)c1
B199,m,0.21,C=COc1cccc(C(=O)O)c1
B315,m,0.48,O=C(O)c1cccc(C2(F)C(F)(F)C(F)(F)C2(F)F)c1
B520,m,0.17,Cc1ccc(P(=O)(c2ccc(C)cc2)c2cccc(C(=O)O)c2)cc1
B145,m,0.21,COSc1cccc(C(=O)O)c1
B7,m,1.2,O=C(O)c1cccc(S(=O)(=O)Cl)c1
A356,p,0,CC[As](CC)c1ccc(C(=O)O)cc1
B172,m,0.61,O=C(O)c1cccc(N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)c1
A210,p,-0.17,COC(=O)Nc1ccc(C(=O)O)cc1
A49,p,0.15,O=C(O)c1ccc(S)cc1
A139,p,-0.24,NC(=O)Nc1ccc(C(=O)O)cc1
A338,p,0.04,O=C(O)c1ccc(-c2ccc[se]2)cc1
A227,p,0.15,N[C+](N)SCc1ccc(C(=O)O)cc1
A29,p,0.62,O=Ic1ccc(C(=O)O)cc1
A323,p,0.96,N#CC(C#N)(C#N)c1ccc(C(=O)O)cc1
A458,p,-0.08,COc1ccc(-c2ccc(C(=O)O)cc2)cc1
B143,m,0,O=C(O)c1cccc(CO)c1
B262,m,0.53,N#CC(C#N)c1cccc(C(=O)O)c1
B492,m,-0.09,C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)c1cccc(C(=O)O)c1
A392,p,0.13,C[N+](C)(C)CCc1ccc(C(=O)O)cc1
A445,p,-0.04,CN(C)[Si](c1ccc(C(=O)O)cc1)(N(C)C)N(C)C
B217,m,0.45,NC(=S)N/N=C/c1cccc(C(=O)O)c1
B517,m,1.13,C[P+](c1ccccc1)(c1ccccc1)c1cccc(C(=O)O)c1
A136,p,0.23,C[Si](F)(F)c1ccc(C(=O)O)cc1
B229,m,0.12,C[Si](C)(F)c1cccc(C(=O)O)c1
A454,p,0.41,O=C(O)c1ccc(C(=O)Nc2ccccc2)cc1
A58,p,0.6,[NH3+]c1ccc(C(=O)O)cc1
A200,p,0.5,CC(=O)c1ccc(C(=O)O)cc1
B281,m,0.21,C=CC[Se]c1cccc(C(=O)O)c1
B220,m,0.22,NNC(=O)N/N=C/c1cccc(C(=O)O)c1
A186,p,0.24,O=C(O)c1ccc(CS(=O)C(F)(F)F)cc1
A257,p,0.48,O=C(O)c1ccc(SC(F)(F)C(F)(F)C(F)(F)F)cc1
A141,p,0.16,NC(=S)Nc1ccc(C(=O)O)cc1
B106,m,0.75,O=C(O)c1cccc(S(=O)(=O)C(F)F)c1
B320,m,0.51,O=C(O)c1cccc(SC(C(F)(F)F)(C(F)(F)F)C(F)(F)F)c1
A151,p,0,CSc1ccc(C(=O)O)cc1
A224,p,0.77,CCS(=O)(=O)c1ccc(C(=O)O)cc1
B222,m,0.08,CC(O)c1cccc(C(=O)O)c1
B347,c,-0.48,O=C(O)c1ccc2c(c1)CCCC2
B339,m,0.06,O=C(O)c1cccc(-c2ccc[te]2)c1
B437,m,0.02,CC(C)P(c1cccc(C(=O)O)c1)C(C)C
A37,p,0.08,[N-]=[N+]=Nc1ccc(C(=O)O)cc1
A510,p,0.38,O=C(O)c1ccc(-c2cc(=O)c3c(ccc4ccccc43)o2)cc1
A54,p,0.42,O=C(O)c1ccc(P(=O)(O)O)cc1
A204,p,0.01,O=C(O)c1ccc(C2CS2)cc1
B59,m,-0.02,NNc1cccc(C(=O)O)c1
B234,m,0.47,CS(=O)(=O)N(c1cccc(C(=O)O)c1)S(C)(=O)=O
A402,p,0.3,O=C(O)c1ccc(-c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])cc1
B170,m,1.18,O=C(O)c1cccc(/S(=N/S(=O)(=O)C(F)(F)F)C(F)(F)F)c1
B174,m,0.82,N#CP(C#N)c1cccc(C(=O)O)c1
B3,m,0.66,O=C(O)c1cccc([Ge](Br)(Br)Br)c1
A53,p,0.6,NS(=O)(=O)c1ccc(C(=O)O)cc1
B233,m,0.51,CN(C)S(=O)(=O)c1cccc(C(=O)O)c1
