ID,Type,Sigma,SMILES
B62,m,0.42,O=C(O)c1cccc(C(F)(F)Cl)c1
B460,m,0.06,O=C(O)c1cccc(COc2ccccc2)c1
B95,m,0.71,N#CN=Nc1cccc(C(=O)O)c1
B11,m,0.54,O=C(O)c1cccc(P(Cl)Cl)c1
B251,m,0.39,O=C(O)c1cccc(/C(F)=C(\F)C(F)(F)F)c1
B360,m,-0.23,CCN(CC)c1cccc(C(=O)O)c1
B207,m,-0.07,O=C(O)c1cccc(N2CC2)c1
B279,m,-0.03,O=C(O)CCc1cccc(C(=O)O)c1
B57,m,0,O=C(O)c1cccc([GeH3])c1
B178,m,0.76,O=C(O)c1cccc(/C=N/S(=O)(=O)C(F)(F)F)c1
B476,m,0.29,C/C(=N\c1cccc(C(=O)O)c1)Nc1ccccc1
B171,m,1.23,O=C(O)c1cccc(S(=O)(=NS(=O)(=O)C(F)(F)F)C(F)(F)F)c1
B335,m,0.06,O=C(O)c1cccc(-c2ccco2)c1
B18,m,0.8,O=C(O)c1cccc(S(=O)(=O)F)c1
B13,m,0.71,O=C(O)c1cccc([Ge](Cl)(Cl)Cl)c1
B205,m,0.26,C=CSc1cccc(C(=O)O)c1
B265,m,0.31,O=C(O)c1cccc(/C=C/S(=O)(=O)C(F)(F)F)c1
B417,m,0.06,O=C(O)c1cccc(-c2ccccc2)c1
B387,m,-0.06,CCC(C)(C)c1cccc(C(=O)O)c1
B199,m,0.21,C=COc1cccc(C(=O)O)c1
B315,m,0.48,O=C(O)c1cccc(C2(F)C(F)(F)C(F)(F)C2(F)F)c1
B520,m,0.17,Cc1ccc(P(=O)(c2ccc(C)cc2)c2cccc(C(=O)O)c2)cc1
B145,m,0.21,COSc1cccc(C(=O)O)c1
B7,m,1.2,O=C(O)c1cccc(S(=O)(=O)Cl)c1
B172,m,0.61,O=C(O)c1cccc(N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)c1
B143,m,0,O=C(O)c1cccc(CO)c1
B262,m,0.53,N#CC(C#N)c1cccc(C(=O)O)c1
B492,m,-0.09,C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)c1cccc(C(=O)O)c1
B217,m,0.45,NC(=S)N/N=C/c1cccc(C(=O)O)c1
B517,m,1.13,C[P+](c1ccccc1)(c1ccccc1)c1cccc(C(=O)O)c1
B229,m,0.12,C[Si](C)(F)c1cccc(C(=O)O)c1
B281,m,0.21,C=CC[Se]c1cccc(C(=O)O)c1
B220,m,0.22,NNC(=O)N/N=C/c1cccc(C(=O)O)c1
